gender,age,country,city,customer_segment,tenure_months,signup_channel,contract_type,monthly_logins,weekly_active_days,avg_session_time,features_used,usage_growth_rate,last_login_days_ago,monthly_fee,payment_method,payment_failures,discount_applied,price_increase_last_3m,support_tickets,avg_resolution_time,complaint_type,csat_score,escalations,email_open_rate,marketing_click_rate,nps_score,survey_response,referral_count,churn,tenure_fee_interaction
Male,54,Australia,Delhi,Individual,23,Web,Quarterly,26,7,11.647154503353716,9,-0.06,2,50,Card,0,Yes,No,1,24.732307243874438,Technical,4.0,0,0.5,0.46,27,Neutral,1,0,1150
Female,26,Germany,Delhi,SME,58,Web,Monthly,22,2,13.277411551898696,8,0.04,3,10,Card,0,Yes,No,1,15.310439460890118,Service,4.0,0,0.47,0.45,-24,Satisfied,1,0,580
Female,40,USA,London,SME,16,Mobile,Quarterly,25,5,26.929688593550743,6,-0.02,1,10,PayPal,0,No,No,0,29.602147760263,Technical,3.0,0,0.17,0.28,44,Satisfied,2,0,160
Female,25,India,London,SME,31,Mobile,Monthly,33,6,18.032909625151813,6,0.1,18,10,Card,0,Yes,No,2,23.59218619730588,Billing,4.0,1,0.52,0.37,-14,Satisfied,2,0,310
Male,49,India,London,Enterprise,12,Mobile,Quarterly,17,4,22.132407249051955,6,0.09,1,50,PayPal,0,No,No,2,21.68508928622556,Service,4.0,0,0.52,0.32,22,Satisfied,1,0,600
Female,65,Bangladesh,Delhi,Individual,33,Mobile,Monthly,9,2,14.53086839835741,3,-0.34,4,20,PayPal,2,No,No,2,25.98309266401804,Billing,3.0,0,0.38,0.1,100,Unsatisfied,0,0,660
Male,31,Canada,New York,Individual,38,Web,Monthly,25,0,1.0,5,0.05,8,30,Card,1,No,No,1,12.120152296989309,Billing,4.0,1,0.81,0.47,21,Satisfied,1,0,1140
Male,44,Canada,London,SME,45,Mobile,Quarterly,23,7,13.425000315447164,7,0.05,19,50,PayPal,1,No,No,0,25.29411733767703,Billing,4.0,0,0.71,0.32,30,Neutral,0,0,2250
Female,42,USA,Toronto,SME,32,Web,Monthly,16,3,9.18879411849976,3,0.18,1,20,PayPal,0,Yes,No,1,24.53455575275501,Technical,3.0,1,0.44,0.22,-59,Neutral,2,0,640
Male,30,USA,Delhi,Individual,54,Mobile,Quarterly,9,2,9.35833845409126,9,0.02,10,30,Card,0,Yes,No,1,23.59916820741333,Service,4.0,0,0.38,0.33,-63,Unsatisfied,0,0,1620
Male,72,Germany,Delhi,Individual,56,Web,Quarterly,23,1,17.73913032657317,7,-0.04,17,10,Bank Transfer,0,No,No,2,27.841635846803584,Service,4.0,1,0.51,0.33,68,Satisfied,3,0,560
Female,38,USA,Delhi,SME,2,Web,Yearly,28,0,1.0,5,0.16,20,70,PayPal,0,Yes,No,0,12.480439923380736,Billing,4.0,0,0.71,0.3,-23,Neutral,1,0,140
Female,62,Bangladesh,Berlin,Individual,50,Web,Monthly,4,2,10.116498617527377,8,-0.09,25,10,Bank Transfer,1,No,No,0,13.116055258495695,Service,4.0,0,0.78,0.49,4,Neutral,0,0,500
Female,48,Germany,New York,Individual,49,Referral,Quarterly,20,4,11.913085513680077,3,-0.21,0,20,PayPal,0,Yes,No,1,36.546229422925805,Technical,4.0,1,0.41,0.06,73,Satisfied,0,0,980
Male,54,Australia,New York,Individual,51,Mobile,Yearly,25,5,19.515994740416044,7,0.11,6,50,Card,0,Yes,No,2,13.546408986119388,Technical,3.0,1,0.76,0.33,59,Satisfied,2,0,2550
Female,65,Canada,London,Individual,23,Web,Monthly,38,2,29.56396393958728,9,0.22,5,20,PayPal,0,No,No,2,28.30795615554468,Technical,3.0,0,0.67,0.05,-20,Satisfied,1,0,460
Female,60,Canada,Delhi,Individual,32,Mobile,Quarterly,20,5,1.0,4,-0.03,0,30,Card,0,No,No,1,48.41634693280005,Billing,4.0,0,0.65,0.17,25,Unsatisfied,0,0,960
Male,71,India,Dhaka,Enterprise,15,Mobile,Monthly,35,4,15.689645254920578,3,-0.09,12,20,Card,1,No,No,1,23.811831068822176,Billing,3.0,1,0.5,0.29,-2,Neutral,0,0,300
Female,30,Bangladesh,London,Enterprise,55,Web,Monthly,28,1,16.734178676289357,9,0.1,2,30,Card,0,Yes,Yes,1,26.01078914806983,Technical,2.0,2,0.31,0.05,10,Satisfied,0,0,1650
Female,45,Canada,New York,SME,41,Web,Quarterly,11,3,33.29201192952884,2,-0.02,19,30,Card,0,No,No,1,44.04471111503777,Billing,4.0,1,0.82,0.41,37,Neutral,1,0,1230
Male,60,Bangladesh,London,Individual,40,Web,Monthly,44,4,5.166316028255126,7,0.06,3,50,PayPal,2,Yes,Yes,0,27.93254972603381,Billing,3.0,0,0.59,0.36,16,Neutral,1,1,2000
Male,42,Australia,London,SME,8,Web,Monthly,20,2,10.790082748887604,3,-0.13,3,30,PayPal,0,No,No,0,27.895147206818603,Technical,3.0,1,0.35,0.37,51,Neutral,1,0,240
Male,52,UK,London,Enterprise,50,Web,Monthly,20,1,18.102986873265092,7,-0.28,2,30,Card,0,No,No,0,6.66203841815566,Technical,4.0,0,0.34,0.17,-46,Satisfied,0,0,1500
Female,64,Germany,London,SME,49,Web,Quarterly,32,7,20.57207658393156,1,-0.11,13,50,Card,1,No,Yes,1,22.461243665486325,Technical,4.0,0,0.39,0.37,-48,Unsatisfied,1,0,2450
Male,56,India,Sydney,Individual,22,Web,Monthly,39,0,11.982576960304666,7,-0.0,3,50,Bank Transfer,1,Yes,No,0,25.494931794256733,Technical,5.0,1,0.63,0.5,45,Satisfied,1,0,1100
Female,55,India,Delhi,Individual,38,Referral,Monthly,16,7,21.272913412704412,2,-0.04,2,10,Bank Transfer,1,No,No,0,39.61897582538188,Billing,4.0,1,0.57,0.29,39,Satisfied,1,0,380
Female,49,UK,Delhi,Enterprise,55,Referral,Quarterly,36,5,17.4813656882881,7,0.17,4,50,Bank Transfer,1,No,Yes,0,13.63453940378142,Billing,4.0,0,0.48,0.29,-32,Satisfied,0,0,2750
Female,20,Canada,Dhaka,Individual,56,Web,Yearly,7,7,28.847857252180425,8,0.05,27,30,PayPal,0,No,No,0,30.86863493156031,Service,3.0,0,0.15,0.31,-13,Unsatisfied,0,0,1680
Male,62,Bangladesh,Dhaka,SME,34,Referral,Quarterly,13,6,16.903065620421266,5,-0.05,6,10,Card,0,No,No,2,22.729801484831263,Service,5.0,1,0.8,0.21,1,Satisfied,1,0,340
Male,54,India,New York,SME,10,Mobile,Monthly,16,6,11.912051891740417,6,0.12,2,30,PayPal,0,No,No,2,23.205711199681005,Service,3.0,0,0.49,0.17,19,Neutral,2,0,300
Female,72,Germany,Berlin,Individual,40,Web,Quarterly,30,5,18.07915402743083,3,0.08,12,10,Card,0,No,No,0,20.546352386979883,Service,4.0,0,0.5,0.45,15,Unsatisfied,3,0,400
Male,39,Bangladesh,Dhaka,Individual,24,Referral,Quarterly,20,5,19.692569386431305,5,0.24,12,30,PayPal,0,No,No,1,19.11428156755197,Service,4.0,1,0.46,0.29,11,Satisfied,2,0,720
Female,25,USA,Delhi,SME,46,Referral,Yearly,23,7,17.616439494762872,6,-0.12,6,10,PayPal,0,No,No,0,23.349560534942164,Technical,4.0,0,0.21,0.06,74,Unsatisfied,0,0,460
Female,34,India,Sydney,Individual,24,Web,Monthly,17,6,17.71660930568536,2,0.25,1,20,Card,0,No,No,3,11.56460894870978,Service,4.0,0,0.71,0.07,4,Unsatisfied,0,0,480
Female,69,USA,New York,SME,48,Referral,Monthly,8,0,12.07433564851912,2,-0.2,7,30,PayPal,0,No,No,0,22.544692366398294,Service,4.0,0,0.2,0.27,-31,Satisfied,2,0,1440
Female,50,Bangladesh,London,SME,26,Web,Monthly,33,7,16.28462315495048,3,-0.15,13,30,PayPal,1,No,No,2,29.80084197247588,Billing,3.0,0,0.3,0.36,-13,Unsatisfied,0,0,780
Female,63,Australia,Toronto,Individual,39,Web,Monthly,13,7,12.72571671136733,5,0.2,3,30,Card,1,No,No,1,37.41348698314959,Service,4.0,0,0.8,0.28,59,Unsatisfied,0,0,1170
Male,34,Germany,Sydney,SME,18,Web,Monthly,13,5,9.51523656420236,5,-0.07,1,70,Card,1,Yes,No,0,28.61500921216177,Technical,5.0,0,0.55,0.26,48,Unsatisfied,2,0,1260
Male,59,India,Sydney,Individual,20,Mobile,Monthly,5,4,20.859985307098924,6,-0.02,1,10,PayPal,0,Yes,No,1,21.8060944897818,Service,3.0,1,0.24,0.32,84,Satisfied,0,0,200
Female,29,Germany,Berlin,SME,41,Referral,Monthly,18,5,20.822879228472715,7,-0.19,1,20,Card,1,No,No,2,26.271620810019577,Billing,4.0,0,0.24,0.21,20,Satisfied,0,0,820
Female,65,UK,London,Individual,56,Mobile,Yearly,25,6,14.190994148696952,5,-0.06,11,30,Card,0,No,No,0,18.984416536932148,Service,4.0,0,0.13,0.08,2,Satisfied,0,0,1680
Male,63,UK,London,SME,36,Mobile,Monthly,16,7,6.056686651089549,3,-0.02,0,30,Bank Transfer,1,Yes,No,0,32.80991500928594,Service,4.0,1,0.62,0.08,76,Neutral,1,0,1080
Female,25,Bangladesh,Berlin,Individual,29,Web,Monthly,21,7,31.73793809332801,4,-0.08,4,10,Card,1,No,No,0,41.05212170591884,Technical,2.0,0,0.78,0.16,-23,Satisfied,2,0,290
Female,40,Canada,Delhi,SME,48,Web,Monthly,15,3,1.864928582099365,5,-0.18,1,20,Card,0,No,No,0,32.46254031842328,Billing,2.0,0,0.88,0.26,-40,Unsatisfied,0,1,960
Female,59,Bangladesh,London,SME,22,Mobile,Quarterly,5,2,13.066520433088703,3,-0.02,21,50,Card,0,No,No,0,39.80696028320307,Technical,3.0,0,0.79,0.17,-2,Satisfied,2,0,1100
Male,66,Canada,Delhi,Individual,11,Referral,Monthly,3,1,9.844466014713154,4,0.29,0,20,Card,0,No,Yes,2,23.347665312824017,Technical,4.0,1,0.76,0.17,33,Unsatisfied,0,0,220
Female,46,Australia,Dhaka,Individual,41,Web,Quarterly,11,1,2.501035512775731,7,0.07,12,30,Card,1,No,No,1,16.982905726776597,Technical,3.0,0,0.74,0.33,33,Satisfied,0,0,1230
Female,67,Bangladesh,Dhaka,Individual,49,Web,Quarterly,7,3,15.405138250143176,3,-0.15,1,10,Card,1,No,No,2,26.59333417028556,Billing,3.0,0,0.81,0.19,69,Satisfied,0,0,490
Male,34,India,Sydney,SME,52,Mobile,Monthly,21,5,3.673909517045004,8,-0.03,3,20,Card,0,Yes,No,1,4.387859120128631,Service,4.0,1,0.41,0.34,16,Satisfied,0,0,1040
Female,33,Germany,Sydney,Individual,3,Web,Quarterly,23,5,19.30193809040976,5,0.2,4,50,PayPal,0,No,No,0,42.9116479766045,Billing,3.0,0,0.12,0.26,33,Satisfied,1,0,150
Female,36,India,Sydney,Individual,21,Mobile,Yearly,4,3,6.6784338051516645,6,-0.38,4,50,Card,0,No,Yes,2,23.880819626129423,Technical,5.0,0,0.84,0.26,59,Satisfied,0,0,1050
Male,73,Germany,New York,SME,58,Mobile,Quarterly,25,3,22.31576154941279,8,0.06,1,20,Card,2,No,No,0,12.550212408254472,Technical,4.0,0,0.66,0.3,-7,Neutral,0,1,1160
Male,73,UK,Sydney,Individual,11,Web,Monthly,26,6,21.945890813036318,5,-0.13,20,20,Card,1,Yes,No,2,21.78213877172676,Billing,5.0,0,0.52,0.16,52,Unsatisfied,2,0,220
Female,25,USA,Berlin,SME,8,Referral,Yearly,22,3,17.743864663520814,5,0.12,10,50,Card,0,No,No,0,22.896114342104973,Technical,4.0,1,0.71,0.1,17,Satisfied,3,0,400
Female,55,Germany,Toronto,SME,31,Web,Monthly,19,5,12.150947713935189,6,0.05,4,10,Card,0,Yes,No,2,30.39857876900918,Technical,2.0,1,0.18,0.48,12,Unsatisfied,1,0,310
Male,70,Canada,London,Individual,10,Web,Quarterly,23,6,10.70114445666358,4,0.04,0,30,Card,1,Yes,No,3,21.04004269818529,Technical,2.0,0,0.35,0.31,49,Unsatisfied,2,0,300
Female,46,Australia,Sydney,Enterprise,6,Referral,Monthly,16,7,19.41882206161024,5,0.26,4,70,Bank Transfer,1,No,No,0,23.94782447103533,Billing,3.0,0,0.55,0.28,-3,Satisfied,2,0,420
Male,58,Bangladesh,New York,Enterprise,17,Web,Yearly,29,6,24.889472399056523,8,-0.11,14,30,Card,0,No,No,1,19.76600785834731,Service,4.0,2,0.65,0.24,-1,Satisfied,2,0,510
Male,53,Bangladesh,Dhaka,Individual,38,Web,Monthly,22,5,24.084611158008546,6,-0.02,5,30,Card,0,No,No,0,36.67126165966104,Billing,4.0,0,0.6,0.28,-1,Satisfied,0,0,1140
Female,43,Canada,Dhaka,Individual,7,Mobile,Monthly,18,2,15.189423983168654,6,-0.28,5,70,Card,1,Yes,No,0,10.661161400799696,Technical,3.0,0,0.28,0.22,-35,Satisfied,2,0,490
Male,48,Germany,Delhi,Individual,32,Web,Monthly,16,3,24.88045722857432,4,0.04,2,20,Bank Transfer,0,Yes,No,4,24.030438898444395,Technical,4.0,0,0.59,0.48,21,Neutral,1,0,640
Female,61,Bangladesh,New York,Individual,13,Web,Quarterly,18,2,17.36860880585417,4,-0.02,1,30,Card,0,No,No,0,14.026584082038978,Service,3.0,0,0.27,0.22,59,Neutral,2,0,390
Female,29,India,Berlin,Individual,6,Web,Quarterly,18,5,1.0,5,0.08,12,50,Card,1,No,Yes,0,21.268084725642737,Billing,4.0,2,0.5,0.47,20,Satisfied,0,0,300
Female,72,Canada,Toronto,SME,3,Referral,Yearly,19,7,24.104341839528796,6,-0.01,11,20,Card,1,No,No,0,30.26343956329672,Service,2.0,1,0.86,0.28,-15,Satisfied,1,0,60
Female,34,UK,Sydney,SME,27,Referral,Quarterly,7,5,16.295606009783032,7,0.23,9,50,Card,1,Yes,Yes,2,21.746797712153366,Technical,3.0,0,0.38,0.28,88,Neutral,2,0,1350
Male,26,India,New York,SME,45,Mobile,Monthly,21,3,12.223776080665449,1,0.1,6,50,PayPal,0,No,No,2,18.11627920176015,Technical,4.0,0,0.84,0.49,-23,Neutral,0,0,2250
Female,59,India,New York,Individual,26,Mobile,Quarterly,22,4,9.832161153074868,2,0.28,7,70,Card,0,No,No,4,43.728509617205525,Technical,2.0,0,0.32,0.05,29,Satisfied,1,0,1820
Female,65,Germany,New York,Individual,4,Web,Yearly,19,3,23.74857008819181,3,0.08,2,50,Card,0,No,No,2,10.041465781463524,Technical,2.0,0,0.82,0.04,11,Neutral,2,1,200
Male,29,UK,Toronto,Individual,37,Web,Quarterly,11,1,8.11928781586821,4,0.04,12,20,Bank Transfer,1,Yes,Yes,0,34.610414953052214,Technical,3.0,2,0.77,0.42,74,Neutral,1,0,740
Male,49,USA,Berlin,Individual,21,Mobile,Monthly,26,2,16.8768154755225,6,0.08,10,30,PayPal,1,No,No,2,4.654395358084479,Technical,3.0,0,0.33,0.09,19,Unsatisfied,0,0,630
Male,42,UK,Toronto,SME,51,Web,Quarterly,33,7,24.670194388599977,8,0.26,2,10,Card,0,No,Yes,2,43.004084699461615,Technical,3.0,0,0.77,0.12,-73,Satisfied,2,0,510
Male,56,Canada,Berlin,Individual,28,Web,Monthly,14,4,25.404862278322604,8,0.03,20,30,PayPal,1,No,No,3,34.74671821106448,Technical,3.0,1,0.67,0.09,26,Neutral,1,0,840
Female,35,Germany,Sydney,SME,18,Referral,Monthly,21,0,20.986917213653847,6,0.04,22,50,Bank Transfer,0,No,No,0,30.83526391350868,Technical,3.0,0,0.87,0.28,-30,Neutral,1,0,900
Female,32,India,London,Individual,56,Referral,Quarterly,32,1,22.822252663553886,5,-0.11,11,10,PayPal,2,No,No,1,14.561288901668997,Technical,4.0,0,0.54,0.07,-16,Neutral,1,1,560
Male,49,India,Delhi,Individual,32,Web,Quarterly,0,7,21.481203370422808,10,-0.1,5,10,PayPal,2,Yes,No,1,9.083299004268138,Billing,4.0,2,0.64,0.34,6,Satisfied,0,0,320
Female,23,Canada,London,Individual,39,Mobile,Monthly,38,6,12.09292786483309,3,0.11,9,10,Card,0,No,No,3,14.501762370837511,Billing,4.0,0,0.44,0.29,5,Satisfied,2,0,390
Female,60,Australia,Berlin,Individual,33,Web,Monthly,27,1,17.000075248476954,5,0.07,4,20,Card,1,No,No,2,15.059186825217884,Technical,4.0,0,0.76,0.46,4,Satisfied,1,0,660
Male,69,Germany,London,SME,26,Referral,Monthly,2,7,22.66225081916395,7,-0.02,6,30,Card,0,No,No,1,20.233703608670705,Billing,5.0,0,0.39,0.4,19,Unsatisfied,0,1,780
Female,52,Canada,New York,Enterprise,17,Mobile,Quarterly,6,5,23.133611286873617,5,-0.08,3,20,Bank Transfer,0,Yes,Yes,0,31.61563863615429,Billing,3.0,0,0.42,0.16,39,Satisfied,0,0,340
Male,51,Germany,Sydney,SME,56,Mobile,Monthly,10,7,15.398640583416665,5,-0.11,12,30,Card,0,No,No,1,33.532290075938995,Service,4.0,0,0.75,0.45,4,Satisfied,2,0,1680
Male,55,USA,Delhi,Individual,52,Web,Quarterly,9,2,14.345246916334856,1,0.38,1,10,Card,0,No,No,3,38.071860483124,Technical,2.0,0,0.12,0.45,-39,Neutral,1,0,520
Female,73,Germany,Delhi,SME,29,Web,Quarterly,0,5,22.35771946724189,9,0.1,0,30,PayPal,0,No,Yes,0,25.71761131671209,Technical,4.0,0,0.54,0.23,12,Neutral,0,0,870
Male,71,Germany,Dhaka,Individual,20,Web,Yearly,8,5,13.72978388450368,7,-0.19,7,70,Card,1,No,No,0,19.80358366720549,Service,2.0,0,0.56,0.4,31,Satisfied,0,1,1400
Female,22,Canada,Sydney,Individual,57,Web,Monthly,5,7,16.004431252476515,7,0.04,4,20,PayPal,0,Yes,No,1,31.369713191847,Technical,5.0,0,0.85,0.43,21,Satisfied,1,0,1140
Male,35,Germany,London,Individual,50,Web,Monthly,34,0,11.184662123051233,4,-0.09,21,50,Bank Transfer,0,No,No,3,23.19728116792897,Billing,2.0,0,0.49,0.21,11,Unsatisfied,0,0,2500
Female,33,UK,Delhi,Individual,5,Web,Quarterly,26,7,12.33463374850118,2,-0.01,7,30,Bank Transfer,1,No,No,3,8.244010997863496,Billing,5.0,0,0.36,0.28,14,Satisfied,1,0,150
Female,25,Germany,Delhi,Individual,54,Web,Monthly,12,6,1.0,3,0.26,17,30,PayPal,0,No,Yes,1,20.99390949287423,Billing,4.0,0,0.82,0.31,-11,Satisfied,0,0,1620
Female,42,Canada,Berlin,Individual,6,Web,Quarterly,25,7,14.572165904094344,5,-0.09,14,30,Card,0,No,No,2,20.71093844703769,Service,3.0,0,0.52,0.34,32,Neutral,0,0,180
Female,49,India,New York,SME,42,Web,Monthly,23,1,19.474896710394425,6,-0.04,7,20,Card,0,No,No,1,25.17157819169648,Technical,2.0,1,0.81,0.48,25,Neutral,2,1,840
Female,43,Bangladesh,Berlin,SME,51,Web,Quarterly,2,5,32.86634543786667,5,0.1,18,10,PayPal,0,No,No,1,12.53318333948046,Technical,4.0,0,0.56,0.41,76,Satisfied,1,0,510
Male,69,USA,London,Individual,10,Mobile,Monthly,24,6,10.68028091205952,6,-0.01,9,30,PayPal,0,No,Yes,1,19.644815258724137,Technical,4.0,1,0.61,0.14,-33,Satisfied,1,0,300
Female,39,India,Sydney,Individual,6,Web,Monthly,15,4,12.60967311927297,6,0.23,2,10,Card,0,Yes,No,1,19.472774722986955,Technical,2.0,1,0.14,0.26,-16,Unsatisfied,2,0,60
Female,73,India,Berlin,SME,44,Referral,Quarterly,30,2,12.265328179526966,4,-0.02,0,10,Card,2,No,Yes,0,33.03320039406416,Service,4.0,0,0.41,0.05,-41,Neutral,0,0,440
Male,74,Germany,Toronto,Individual,56,Web,Monthly,23,4,9.93801895686887,6,0.07,24,20,Card,1,Yes,No,0,40.61935047136931,Technical,2.0,0,0.15,0.31,75,Satisfied,2,1,1120
Male,70,Germany,Berlin,SME,13,Web,Monthly,44,5,18.85681697585408,5,-0.09,14,20,Card,0,No,No,2,27.293720061638638,Service,2.0,0,0.23,0.07,52,Satisfied,2,0,260
Male,23,Germany,Toronto,Individual,10,Web,Quarterly,17,3,22.62811686171852,5,-0.1,10,20,Card,1,No,No,2,14.599196077072817,Service,4.0,0,0.74,0.03,-20,Neutral,0,0,200
Male,37,Bangladesh,Delhi,Individual,16,Referral,Monthly,26,4,26.673484513243377,5,0.15,8,10,Card,0,No,No,0,18.364473915381204,Service,4.0,2,0.16,0.21,-46,Satisfied,1,0,160
Female,22,UK,Dhaka,Individual,19,Web,Monthly,41,1,19.974333407557065,6,-0.27,1,20,Card,1,Yes,No,1,15.379230637392215,Billing,4.0,0,0.52,0.12,42,Satisfied,1,0,380
Male,40,UK,Delhi,Individual,6,Referral,Quarterly,5,2,18.786466201741447,9,0.06,1,20,Card,0,No,No,1,12.409200492726915,Technical,3.0,0,0.41,0.44,48,Satisfied,2,0,120
Male,26,India,Toronto,Individual,26,Mobile,Quarterly,30,1,1.0,1,0.01,17,20,PayPal,0,No,No,0,46.168523974132114,Technical,5.0,0,0.37,0.45,-6,Satisfied,0,0,520
Female,46,Canada,Toronto,Individual,9,Mobile,Quarterly,18,6,9.064446908185438,6,0.08,1,30,Bank Transfer,0,No,Yes,3,1.0,Billing,4.0,2,0.67,0.26,44,Satisfied,1,0,270
Female,33,USA,New York,SME,46,Web,Monthly,16,6,5.33341416064437,8,0.1,3,30,PayPal,0,No,No,2,38.91012034792856,Technical,3.0,1,0.45,0.43,32,Satisfied,0,0,1380
Male,63,India,Delhi,Enterprise,10,Web,Monthly,0,5,21.85542218579814,5,0.33,24,70,Bank Transfer,0,No,No,4,43.15117655383688,Service,3.0,1,0.45,0.45,2,Neutral,0,0,700
Female,25,USA,Sydney,Individual,3,Referral,Monthly,0,2,13.238871756629116,7,0.3,7,10,Bank Transfer,1,Yes,No,1,19.381950765455,Technical,4.0,0,0.16,0.04,-18,Satisfied,3,0,30
Female,31,Bangladesh,Delhi,Enterprise,35,Referral,Monthly,16,0,20.593360684563702,6,-0.29,3,50,Card,0,Yes,No,1,22.02899664137661,Technical,5.0,1,0.26,0.3,47,Unsatisfied,1,0,1750
Female,54,Canada,London,Individual,6,Mobile,Quarterly,28,5,18.428670031030805,5,0.12,4,70,Card,0,No,No,2,34.06396530151928,Service,3.0,0,0.53,0.43,-4,Satisfied,1,0,420
Male,67,Canada,Delhi,Enterprise,29,Mobile,Yearly,1,0,6.035873858171023,1,-0.17,11,20,Card,0,No,No,4,24.459405163988706,Technical,5.0,2,0.79,0.44,-24,Neutral,0,0,580
Female,51,Germany,New York,Individual,19,Web,Monthly,10,6,19.007116479813504,1,0.03,1,10,PayPal,0,No,Yes,1,18.17569238731893,Billing,4.0,0,0.29,0.19,-11,Satisfied,0,0,190
Female,28,Australia,Delhi,Individual,50,Referral,Monthly,14,7,13.241564514227798,3,-0.19,0,50,Card,0,No,Yes,1,21.08646031152715,Technical,4.0,1,0.84,0.05,-2,Unsatisfied,2,0,2500
Male,71,UK,Sydney,Individual,44,Referral,Quarterly,16,7,18.53651828337584,2,0.14,4,50,Card,0,No,No,1,18.77783772836352,Technical,4.0,0,0.2,0.22,1,Neutral,3,0,2200
Female,57,Germany,Berlin,Individual,15,Web,Monthly,23,3,8.362933628120533,6,0.12,2,70,Card,0,No,No,1,28.38690333508745,Billing,3.0,1,0.13,0.5,22,Satisfied,1,0,1050
Male,50,USA,Sydney,Individual,57,Web,Monthly,20,7,27.758318614636003,4,-0.26,17,10,Card,0,No,No,3,31.00480939970021,Technical,4.0,0,0.11,0.18,29,Satisfied,1,0,570
Female,48,Australia,Dhaka,Individual,38,Mobile,Quarterly,39,2,8.808379730980548,4,-0.2,9,50,Card,0,Yes,Yes,2,5.410205182180931,Service,4.0,0,0.8,0.3,-58,Neutral,2,0,1900
Male,71,Australia,Sydney,SME,21,Mobile,Quarterly,23,5,12.605179629918997,5,-0.29,0,20,Card,0,No,No,2,30.968749719347816,Billing,4.0,0,0.83,0.16,-25,Satisfied,0,0,420
Male,51,Australia,New York,Individual,51,Web,Quarterly,14,6,9.9157321121385,7,0.08,5,30,Card,0,No,No,2,18.179755889869316,Billing,3.0,0,0.46,0.39,37,Satisfied,2,0,1530
Male,67,India,London,Individual,39,Web,Monthly,23,3,14.032847810980943,5,0.15,17,20,PayPal,0,No,No,2,30.22781972676044,Technical,5.0,1,0.32,0.29,-31,Satisfied,0,0,780
Male,40,India,Delhi,SME,50,Referral,Quarterly,35,6,31.4733707022395,2,-0.12,14,30,Card,1,Yes,Yes,2,23.198788294430454,Billing,3.0,0,0.65,0.26,15,Neutral,1,0,1500
Male,63,Germany,New York,SME,2,Web,Quarterly,11,1,13.637767230616223,5,-0.12,0,10,Card,0,Yes,No,2,22.8206904833472,Service,3.0,1,0.84,0.39,74,Neutral,0,0,20
Male,73,Australia,New York,Individual,45,Mobile,Monthly,26,2,11.494477348036096,8,-0.17,1,50,Card,1,No,No,3,20.34094645457648,Billing,5.0,1,0.18,0.1,-12,Satisfied,0,0,2250
Female,24,Canada,Berlin,SME,32,Web,Quarterly,22,2,24.640580703400417,8,0.08,3,70,Bank Transfer,0,Yes,No,0,24.93126134460397,Billing,3.0,0,0.81,0.15,66,Neutral,0,0,2240
Male,71,Bangladesh,Sydney,Individual,47,Referral,Monthly,13,7,8.366561184428532,4,0.24,11,50,Card,0,No,No,0,13.594395156104904,Technical,4.0,0,0.11,0.45,68,Neutral,3,0,2350
Female,42,Germany,London,Individual,28,Web,Yearly,40,5,26.548954704694967,10,0.15,1,50,PayPal,0,Yes,No,0,6.342781063555709,Service,4.0,1,0.69,0.2,18,Satisfied,0,0,1400
Female,20,Canada,London,Individual,56,Web,Quarterly,17,2,2.1566367256140087,3,-0.04,9,30,PayPal,0,No,No,2,26.834285220688862,Technical,3.0,0,0.63,0.18,20,Satisfied,1,0,1680
Female,66,USA,New York,Individual,25,Web,Monthly,33,4,17.759848904468043,5,-0.12,20,20,PayPal,1,No,No,2,27.076323507226025,Billing,5.0,1,0.47,0.02,49,Satisfied,0,0,500
Female,61,Germany,New York,Enterprise,48,Web,Monthly,10,7,21.39851834767387,3,0.09,14,20,Card,1,No,No,0,31.384527434190947,Billing,3.0,0,0.88,0.23,23,Satisfied,0,0,960
Female,61,Canada,Berlin,Individual,58,Web,Monthly,16,1,19.85633983252449,9,0.1,3,10,Card,1,No,No,2,6.295102389060673,Service,4.0,0,0.26,0.2,-33,Satisfied,1,0,580
Female,47,USA,Delhi,Individual,9,Mobile,Monthly,19,1,10.19101726052211,8,-0.12,0,20,Card,0,No,No,0,27.27276305188997,Billing,4.0,0,0.41,0.47,12,Satisfied,1,0,180
Male,34,UK,London,Individual,23,Web,Quarterly,36,0,21.05341398116476,8,0.04,21,20,Card,0,No,No,0,19.95376818810008,Technical,3.0,0,0.8,0.14,30,Satisfied,1,0,460
Male,27,Canada,New York,Individual,23,Mobile,Monthly,35,6,9.16596168437324,2,-0.01,1,10,PayPal,1,Yes,Yes,1,19.96920420184172,Technical,4.0,1,0.64,0.35,100,Satisfied,0,0,230
Male,52,Bangladesh,Dhaka,Enterprise,49,Referral,Yearly,16,3,13.22876843506285,4,0.09,0,10,Card,1,No,Yes,0,23.126640850175452,Service,4.0,0,0.36,0.21,20,Neutral,2,0,490
Male,37,Australia,Toronto,Individual,26,Referral,Monthly,16,4,10.9617122403119,5,-0.08,8,50,Card,1,No,No,2,42.94712433680896,Technical,3.0,0,0.32,0.21,27,Satisfied,2,0,1300
Male,35,Canada,London,Enterprise,40,Mobile,Yearly,22,1,13.949871044852443,7,0.31,7,30,Card,0,No,No,1,29.95064989835325,Technical,2.0,0,0.61,0.45,-19,Neutral,1,0,1200
